Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
1,ACTIVO DISPONIBLE Y EXIGIBLE,ACTIVO DISPONIBLE Y EXIGIBLE,ASSET,DEBIT,N,Y,,,E,,Algebraic,N
10,EFECTIVO Y EQUIVALENTES DE EFECTIVO,EFECTIVO Y EQUIVALENTES DE EFECTIVO,ASSET,DEBIT,N,Y,,1,C,,Algebraic,N
101,CAJA,CAJA,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
10100001,CAJA CHICA,CAJA CHICA,ASSET,DEBIT,Y,N,CB_ASSET_ACCT,101,S,,Algebraic,N
10100002,CAJA BANCO,CAJA BANCO,ASSET,DEBIT,N,N,,101,S,,Algebraic,N
10100003,DEVOLUCIONES CAJA CHICA,DEVOLUCIONES CAJA CHICA,ASSET,DEBIT,Y,N,CB_DIFFERENCES_ACCT,101,S,,Algebraic,N
102,FONDOS FIJOS,FONDOS FIJOS,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
10200001,FONDOS FIJOS,FONDOS FIJOS,ASSET,DEBIT,N,N,,102,S,,Algebraic,N
103,EFECTIVO EN TRANSITO,EFECTIVO EN TRANSITO,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
10300001,EFECTIVO EN TRANSITO ,EFECTIVO EN TRANSITO ,ASSET,DEBIT,Y,N,CB_CASHTRANSFER_ACCT,103,S,,Algebraic,N
104,CUENTAS CORRIENTES EN INSTITUCIONES FINANCIERAS,CUENTAS CORRIENTES EN INSTITUCIONES FINANCIERAS,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
1041,CUENTAS CORRIENTES OPERATIVAS,CUENTAS CORRIENTES OPERATIVAS,ASSET,DEBIT,N,Y,,104,C,,Algebraic,N
10410001,CUENTAS CORRIENTES OPERATIVAS,CUENTAS CORRIENTES OPERATIVAS,ASSET,DEBIT,Y,N,B_ASSET_ACCT,1041,S,,Algebraic,N
10410901,CUENTAS CORRIENTES POR CONCILIAR,CUENTAS CORRIENTES POR CONCILIAR,ASSET,DEBIT,Y,N,B_INTRANSIT_ACCT,1041,S,,Algebraic,N
1042,CUENTAS CORRIENTES PARA FINES ESPECIFICOS,CUENTAS CORRIENTES PARA FINES ESPECIFICOS,ASSET,DEBIT,N,Y,,104,C,,Algebraic,N
10420001,CUENTAS CORRIENTES PARA FINES ESPECIFICOS ,CUENTAS CORRIENTES PARA FINES ESPECIFICOS ,ASSET,DEBIT,N,N,,1042,S,,Algebraic,N
105,OTROS EQUIVALENTES DE EFECTIVO,OTROS EQUIVALENTES DE EFECTIVO,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
1051,OTROS EQUIVALENTES DE EFECTIVO,OTROS EQUIVALENTES DE EFECTIVO,ASSET,DEBIT,N,Y,,105,C,,Algebraic,N
10510001,OTROS EQUIVALENTES DE EFECTIVO,OTROS EQUIVALENTES DE EFECTIVO,ASSET,DEBIT,N,N,,1051,S,,Algebraic,N
106,DEPOSITOS EN INSTITUCIONES FINANCIERAS,DEPOSITOS EN INSTITUCIONES FINANCIERAS,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
1061,DEPOSITOS DE AHORRO,DEPOSITOS DE AHORRO,ASSET,DEBIT,N,Y,,106,C,,Algebraic,N
10610001,DEPOSITOS DE AHORRO,DEPOSITOS DE AHORRO,ASSET,DEBIT,N,N,,1061,S,,Algebraic,N
1062,DEPOSITOS A PLAZO,DEPOSITOS A PLAZO,ASSET,DEBIT,N,Y,,106,C,,Algebraic,N
10620001,DEPOSITOS A PLAZO,DEPOSITOS A PLAZO,ASSET,DEBIT,N,N,,1062,S,,Algebraic,N
107,FONDOS SUJETOS A RESTRICCION,FONDOS SUJETOS A RESTRICCION,ASSET,DEBIT,N,Y,,10,C,,Algebraic,N
1071,FONDOS SUJETOS A RESTRICCION,FONDOS SUJETOS A RESTRICCION,ASSET,DEBIT,N,Y,,107,C,,Algebraic,N
10710001,FONDOS SUJETOS A RESTRICCION,FONDOS SUJETOS A RESTRICCION,ASSET,DEBIT,N,N,,1071,S,,Algebraic,N
11,INVERSIONES FINANCIERAS,INVERSIONES FINANCIERAS,ASSET,DEBIT,N,Y,,1,C,,Algebraic,N
111,INVERSIONES MANTENIDAS PARA NEGOCIACION,INVERSIONES MANTENIDAS PARA NEGOCIACION,ASSET,DEBIT,N,Y,,11,C,,Algebraic,N
1111,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO,ASSET,DEBIT,N,Y,,111,C,,Algebraic,N
11111,COSTO,COSTO,ASSET,DEBIT,N,Y,,1111,C,,Algebraic,N
11111001,COSTO,COSTO,ASSET,DEBIT,N,N,,11111,S,,Algebraic,N
11112,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1111,C,,Algebraic,N
11112001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11112,S,,Algebraic,N
1112,VALORES EMITIDOS POR EL SISTEMA FINANCIERO,VALORES EMITIDOS POR EL SISTEMA FINANCIERO,ASSET,DEBIT,N,Y,,111,C,,Algebraic,N
11121,COSTO,COSTO,ASSET,DEBIT,N,Y,,1112,C,,Algebraic,N
11121001,COSTO,COSTO,ASSET,DEBIT,N,N,,11121,S,,Algebraic,N
