Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
0,CUENTAS DE ORDEN,CUENTAS DE ORDEN,ASSET,DEBIT,N,Y,,,E,,Algebraic,N
01,BIENES Y VALORES ENTREGADOS,BIENES Y VALORES ENTREGADOS,ASSET,DEBIT,N,Y,,0,C,,Algebraic,N
011,"BIENES EN PRESTAMO, CUSTODIA Y NO CAPIT.","BIENES EN PRESTAMO, CUSTODIA Y NO CAPIT.",ASSET,DEBIT,N,Y,,01,C,,Algebraic,N
0111,BIENES EN PRESTAMO - Entregados,BIENES EN PRESTAMO - Entregados,ASSET,DEBIT,N,N,,011,S,,Algebraic,N
0112,BIENES EN CUSTODIA - Entregados,BIENES EN CUSTODIA - Entregados,ASSET,DEBIT,N,N,,011,S,,Algebraic,N
012,VALORES Y BIENES ENTREGADOS EN GARANTIA,VALORES Y BIENES ENTREGADOS EN GARANTIA,ASSET,DEBIT,N,Y,,01,C,,Algebraic,N
0121,CARTAS FIANZA - Entregados en garantía,CARTAS FIANZA - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0122,CUENTAS POR COBRAR - Entregados en garantía,CUENTAS POR COBRAR - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0123,EXISTENCIAS - Entregados en garantía,EXISTENCIAS - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0124,INVERSION MOBILIARIA - Entregados en garantía,INVERSION MOBILIARIA - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0125,INVERSION INMOBILIARIA - Entregados en garantía,INVERSION INMOBILIARIA - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0126,"INMUEBLES, MAQUINARIA Y EQUIPO - Entregados en garantía","INMUEBLES, MAQUINARIA Y EQUIPO - Entregados en garantía",ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0127,INTANGIBLES - Entregados en garantía,INTANGIBLES - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
0128,ACTIVOS BIOLOGICOS - Entregados en garantía,ACTIVOS BIOLOGICOS - Entregados en garantía,ASSET,DEBIT,N,N,,012,S,,Algebraic,N
